NodeId,DateTime,AvgResponseTime
19,2015-02-15 01:49:37.937,31
19,2015-02-15 01:50:22.950,31
19,2015-02-15 01:51:07.950,31
19,2015-02-15 01:51:52.950,31
19,2015-02-15 01:52:38.107,32
19,2015-02-15 01:53:23.090,31
19,2015-02-15 01:54:08.133,32
19,2015-02-15 01:54:53.117,31
19,2015-02-15 01:55:38.127,32
19,2015-02-15 01:56:23.127,32
19,2015-02-15 01:57:08.127,31
19,2015-02-15 01:57:53.127,31
19,2015-02-15 01:58:38.127,31
19,2015-02-15 01:59:23.130,31
19,2015-02-15 02:00:08.133,32
19,2015-02-15 02:00:53.133,31
19,2015-02-15 02:01:38.133,32
19,2015-02-15 02:02:23.133,31
19,2015-02-15 02:03:08.133,38
19,2015-02-15 02:03:53.147,31
19,2015-02-15 02:04:38.147,31
19,2015-02-15 02:05:23.150,31
19,2015-02-15 02:06:08.167,46
19,2015-02-15 02:06:53.167,33
19,2015-02-15 02:07:38.150,33
19,2015-02-15 02:08:23.150,32
19,2015-02-15 02:09:08.157,31
19,2015-02-15 02:09:53.173,32
19,2015-02-15 02:10:38.197,31
19,2015-02-15 02:11:23.197,32
19,2015-02-15 02:12:08.197,31
19,2015-02-15 02:12:53.197,31
19,2015-02-15 02:13:38.197,31
19,2015-02-15 02:14:23.213,32
19,2015-02-15 02:15:08.227,31
19,2015-02-15 02:15:53.227,31
19,2015-02-15 02:16:38.227,31
19,2015-02-15 02:17:23.227,31
19,2015-02-15 02:18:08.227,31
19,2015-02-15 02:18:53.237,31
19,2015-02-15 02:19:41.267,31
19,2015-02-15 02:20:23.243,31
19,2015-02-15 02:21:08.243,32
19,2015-02-15 02:21:53.307,31
19,2015-02-15 02:22:38.290,31
19,2015-02-15 02:23:23.290,31
19,2015-02-15 02:24:08.297,31
19,2015-02-15 02:24:53.310,31
19,2015-02-15 02:25:38.310,31
19,2015-02-15 02:26:23.310,31
19,2015-02-15 02:27:08.310,31
19,2015-02-15 02:27:53.310,31
19,2015-02-15 02:28:38.310,31
19,2015-02-15 02:29:23.313,31
19,2015-02-15 02:30:08.327,32
19,2015-02-15 02:30:53.313,31
19,2015-02-15 02:31:38.313,31
19,2015-02-15 02:32:30.703,33
19,2015-02-15 02:33:10.593,31
19,2015-02-15 02:33:53.327,31
19,2015-02-15 02:34:38.327,31
19,2015-02-15 02:35:23.343,32
19,2015-02-15 02:36:08.327,32
19,2015-02-15 02:36:53.343,31
19,2015-02-15 02:37:38.327,32
19,2015-02-15 02:38:23.327,31
19,2015-02-15 02:39:08.357,32
19,2015-02-15 02:39:53.340,31
19,2015-02-15 02:40:38.350,32
19,2015-02-15 02:41:23.350,34
19,2015-02-15 02:42:08.350,31
19,2015-02-15 02:42:53.350,31
19,2015-02-15 02:43:38.350,31
19,2015-02-15 02:44:23.353,31
19,2015-02-15 02:45:08.363,33
19,2015-02-15 02:45:53.363,31
19,2015-02-15 02:46:38.377,31
19,2015-02-15 02:47:23.363,34
19,2015-02-15 02:48:08.363,31
19,2015-02-15 02:48:53.373,31
19,2015-02-15 02:49:38.373,31
19,2015-02-15 02:50:23.373,31
19,2015-02-15 02:51:08.373,32
19,2015-02-15 02:51:53.373,36
19,2015-02-15 02:52:38.373,31
19,2015-02-15 02:53:27.563,37
19,2015-02-15 02:54:08.390,31
19,2015-02-15 02:54:53.390,31
19,2015-02-15 02:55:38.390,31
19,2015-02-15 02:56:23.390,31
19,2015-02-15 02:57:08.390,31
19,2015-02-15 02:57:53.390,33
19,2015-02-15 02:58:38.390,31
19,2015-02-15 02:59:23.397,31
19,2015-02-15 03:00:08.407,31
19,2015-02-15 03:00:53.407,32
19,2015-02-15 03:01:38.407,31
19,2015-02-15 03:02:23.437,31
19,2015-02-15 03:03:30.267,49
19,2015-02-15 03:03:53.420,31
19,2015-02-15 03:04:38.420,31
19,2015-02-15 03:05:23.427,34
19,2015-02-15 03:06:08.440,35
19,2015-02-15 03:06:53.427,31
19,2015-02-15 03:07:38.427,32
19,2015-02-15 03:08:23.427,32
19,2015-02-15 03:09:08.440,32
19,2015-02-15 03:09:53.450,31
19,2015-02-15 03:10:38.490,43
19,2015-02-15 03:11:23.473,32
19,2015-02-15 03:12:08.457,32
19,2015-02-15 03:12:53.567,32
19,2015-02-15 03:13:38.567,34
19,2015-02-15 03:14:23.583,32
19,2015-02-15 03:15:08.583,31
19,2015-02-15 03:15:53.583,31
19,2015-02-15 03:16:38.583,31
19,2015-02-15 03:17:23.570,31
19,2015-02-15 03:18:08.570,31
19,2015-02-15 03:18:53.583,32
19,2015-02-15 03:19:38.583,32
19,2015-02-15 03:20:23.590,31
19,2015-02-15 03:21:08.603,31
19,2015-02-15 03:21:53.590,31
19,2015-02-15 03:22:38.590,32
19,2015-02-15 03:23:23.590,31
19,2015-02-15 03:24:08.617,31
19,2015-02-15 03:24:53.603,31
19,2015-02-15 03:25:38.613,35
19,2015-02-15 03:26:23.630,31
19,2015-02-15 03:27:08.630,32
19,2015-02-15 03:27:53.613,31
19,2015-02-15 03:28:38.630,32
19,2015-02-15 03:29:23.613,32
19,2015-02-15 03:30:08.660,31
19,2015-02-15 03:30:53.627,32
19,2015-02-15 03:31:38.643,33
19,2015-02-15 03:32:23.643,32
19,2015-02-15 03:33:08.660,31
19,2015-02-15 03:33:53.653,33
19,2015-02-15 03:34:38.653,38
19,2015-02-15 03:35:23.650,32
19,2015-02-15 03:36:08.663,31
19,2015-02-15 03:36:53.650,31
19,2015-02-15 03:37:38.650,33
19,2015-02-15 03:38:23.650,32
19,2015-02-15 03:39:08.677,31
19,2015-02-15 03:39:53.677,32
19,2015-02-15 03:40:38.677,31
19,2015-02-15 03:41:23.690,31
19,2015-02-15 03:42:08.707,31
19,2015-02-15 03:42:53.677,31
19,2015-02-15 03:43:38.677,31
19,2015-02-15 03:44:23.707,32
19,2015-02-15 03:45:08.717,32
19,2015-02-15 03:45:53.733,50
19,2015-02-15 03:46:38.717,31
19,2015-02-15 03:47:23.717,31
19,2015-02-15 03:48:08.717,31
19,2015-02-15 03:48:53.720,31
19,2015-02-15 03:49:38.720,31
19,2015-02-15 03:50:23.733,32
19,2015-02-15 03:51:08.733,36
19,2015-02-15 03:51:53.733,31
19,2015-02-15 03:52:38.733,31
19,2015-02-15 03:53:23.750,31
19,2015-02-15 03:54:08.787,31
19,2015-02-15 03:54:55.543,32
19,2015-02-15 03:55:38.790,31
19,2015-02-15 03:56:23.803,32
19,2015-02-15 03:57:08.790,31
19,2015-02-15 03:57:53.773,31
19,2015-02-15 03:58:38.773,31
19,2015-02-15 03:59:23.790,31
19,2015-02-15 04:00:08.797,32
19,2015-02-15 04:00:53.970,42
19,2015-02-15 04:01:38.907,32
19,2015-02-15 04:02:23.907,32
19,2015-02-15 04:03:08.907,33
19,2015-02-15 04:03:53.923,32
19,2015-02-15 04:04:38.940,32
19,2015-02-15 04:05:23.927,31
19,2015-02-15 04:06:09.007,52
19,2015-02-15 04:06:53.927,32
19,2015-02-15 04:07:38.943,31
19,2015-02-15 04:08:24.600,35
19,2015-02-15 04:09:09.580,32
19,2015-02-15 04:09:54.593,33
19,2015-02-15 04:10:40.140,31
19,2015-02-15 04:11:24.657,34
19,2015-02-15 04:12:09.657,31
19,2015-02-15 04:12:54.640,32
19,2015-02-15 04:13:39.640,32
19,2015-02-15 04:14:24.653,32
19,2015-02-15 04:15:09.670,31
19,2015-02-15 04:15:54.670,31
19,2015-02-15 04:16:39.653,31
19,2015-02-15 04:17:24.653,31
19,2015-02-15 04:18:09.653,31
19,2015-02-15 04:18:54.680,31
19,2015-02-15 04:19:39.663,31
19,2015-02-15 04:20:24.663,31
19,2015-02-15 04:21:09.680,33
19,2015-02-15 04:21:54.680,31
19,2015-02-15 04:22:39.680,31
19,2015-02-15 04:23:24.680,31
19,2015-02-15 04:24:09.680,32
19,2015-02-15 04:24:54.680,31
19,2015-02-15 04:25:39.703,32
19,2015-02-15 04:26:24.690,31
19,2015-02-15 04:27:09.703,31
19,2015-02-15 04:27:54.750,31
19,2015-02-15 04:28:39.737,32
19,2015-02-15 04:29:24.757,31
19,2015-02-15 04:30:09.787,32
19,2015-02-15 04:30:54.770,32
19,2015-02-15 04:31:39.787,31
19,2015-02-15 04:32:24.757,31
19,2015-02-15 04:33:09.757,31
19,2015-02-15 04:33:54.757,31
19,2015-02-15 04:34:39.757,31
19,2015-02-15 04:35:31.677,34
19,2015-02-15 04:36:09.770,32
19,2015-02-15 04:36:54.770,35
19,2015-02-15 04:37:39.770,35
19,2015-02-15 04:38:24.833,32
19,2015-02-15 04:39:09.843,31
19,2015-02-15 04:39:54.853,34
19,2015-02-15 04:40:39.877,31
19,2015-02-15 04:41:24.877,32
19,2015-02-15 04:42:09.893,43
19,2015-02-15 04:42:54.860,31
19,2015-02-15 04:43:39.860,31
19,2015-02-15 04:44:24.867,31
19,2015-02-15 04:45:09.877,31
19,2015-02-15 04:45:54.877,31
19,2015-02-15 04:46:39.877,31
19,2015-02-15 04:47:24.877,32
19,2015-02-15 04:48:09.893,31
19,2015-02-15 04:48:54.897,32
19,2015-02-15 04:49:39.880,31
19,2015-02-15 04:50:24.890,31
19,2015-02-15 04:51:09.907,35
19,2015-02-15 04:51:54.890,31
19,2015-02-15 04:52:39.907,31
19,2015-02-15 04:53:24.907,31
19,2015-02-15 04:54:09.903,31
19,2015-02-15 04:54:54.930,31
19,2015-02-15 04:55:39.930,31
19,2015-02-15 04:56:24.930,32
19,2015-02-15 04:57:09.930,31
19,2015-02-15 04:57:54.930,31
19,2015-02-15 04:58:39.930,31
19,2015-02-15 04:59:24.933,32
19,2015-02-15 05:00:09.933,32
19,2015-02-15 05:00:54.947,40
19,2015-02-15 05:01:39.947,32
19,2015-02-15 05:02:24.947,31
19,2015-02-15 05:03:09.947,31
19,2015-02-15 05:03:54.947,31
19,2015-02-15 05:04:39.977,31
19,2015-02-15 05:05:24.963,32
19,2015-02-15 05:06:09.977,41
19,2015-02-15 05:06:54.963,31
19,2015-02-15 05:07:39.963,31
19,2015-02-15 05:08:24.963,33
19,2015-02-15 05:09:09.963,31
19,2015-02-15 05:09:54.967,32
19,2015-02-15 05:10:39.967,32
19,2015-02-15 05:11:24.967,33
19,2015-02-15 05:12:10.000,32
19,2015-02-15 05:12:55.000,32
19,2015-02-15 05:13:40.000,31
19,2015-02-15 05:14:25.010,31
19,2015-02-15 05:15:10.013,31
19,2015-02-15 05:15:55.013,31
19,2015-02-15 05:16:40.013,31
19,2015-02-15 05:17:25.013,31
19,2015-02-15 05:18:10.013,31
19,2015-02-15 05:18:55.027,31
19,2015-02-15 05:19:40.027,31
19,2015-02-15 05:20:25.040,38
19,2015-02-15 05:21:10.040,31
19,2015-02-15 05:21:55.040,31
