NodeId,InterfaceId,DateTime,InAveragebps,OutAveragebps,InTotalBytes,OutTotalBytes
3619,174043,2015-02-15 01:20:54.507,5959403,140826.4,4.469552E+07,1056198
3619,174043,2015-02-15 01:21:54.507,3052855,83347.2,2.289641E+07,625104
3619,174043,2015-02-15 01:22:54.507,415844.7,27075.73,3118835,203068
3619,174043,2015-02-15 01:23:54.507,679917.6,27583.6,5099382,206877
3619,174043,2015-02-15 01:24:54.533,397266.3,43803.56,2980806,328671
3619,174043,2015-02-15 01:25:54.527,6085837,124622.4,4.564006E+07,934592
3619,174043,2015-02-15 01:26:54.527,6071774,135302.4,4.55383E+07,1014768
3619,174043,2015-02-15 01:27:54.527,2946104,71036,2.209578E+07,532770
3619,174043,2015-02-15 01:28:54.527,716359.4,25762.53,5372696,193219
3619,174043,2015-02-15 01:29:54.853,428339.2,28637.72,3229955,215947
3619,174043,2015-02-15 01:30:54.843,460254.3,44561.6,3451401,334163
3619,174043,2015-02-15 01:31:54.843,6154870,129046.5,4.616152E+07,967849
3619,174043,2015-02-15 01:32:54.843,5937041,149919.7,4.452781E+07,1124398
3619,174043,2015-02-15 01:33:54.843,2878696,66330.27,2.159022E+07,497477
3619,174043,2015-02-15 01:34:54.853,380120.5,26806.54,2851414,201085
3619,174043,2015-02-15 01:35:54.857,509445.6,21654.5,3820966,162414
3619,174043,2015-02-15 01:36:54.857,401962.7,32423.6,3014720,243177
3619,174043,2015-02-15 01:37:54.857,6176976,139458.7,4.632732E+07,1045940
3619,174043,2015-02-15 01:38:54.857,6164622,139591.9,4.623466E+07,1046939
3619,174043,2015-02-15 01:39:54.863,2672504,71003.7,2.004638E+07,532597
3619,174043,2015-02-15 01:40:54.873,530724.6,33791.32,3981017,253472
3619,174043,2015-02-15 01:41:54.873,540775.6,24303.2,4055817,182274
3619,174043,2015-02-15 01:42:54.873,440357.7,29807.2,3302683,223554
3619,174043,2015-02-15 01:43:54.873,5956529,124006.7,4.467397E+07,930050
3619,174043,2015-02-15 01:44:54.877,5951971,149944.3,4.464268E+07,1124655
3619,174043,2015-02-15 01:45:54.877,3062786,73328.93,2.297089E+07,549967
3619,174043,2015-02-15 01:46:54.877,510153.5,32430.53,3826151,243229
3619,174043,2015-02-15 01:47:54.877,554773.6,26538.4,4160802,199038
3619,174043,2015-02-15 01:48:54.877,481430.3,34602.4,3610727,259518
3619,174043,2015-02-15 01:49:54.890,6212191,134501.5,4.660052E+07,1008958
3619,174043,2015-02-15 01:50:54.890,5884296,143731.6,4.413222E+07,1077987
3619,174043,2015-02-15 01:51:57.310,2974108,81906.55,2.320617E+07,639095
3619,174043,2015-02-15 01:52:54.890,480183.8,21878.03,3456010,157462
3619,174043,2015-02-15 01:53:54.890,519657.7,21859.73,3897433,163948
3619,174043,2015-02-15 01:54:54.900,404976,34669.07,3037962,260073
3619,174043,2015-02-15 01:55:54.900,5996589,140859.5,4.497442E+07,1056446
3619,174043,2015-02-15 01:56:54.917,6185080,139992.9,4.640018E+07,1050220
3619,174043,2015-02-15 01:57:54.917,3056397,74466,2.292298E+07,558495
3619,174043,2015-02-15 01:58:54.917,561728.8,25915.33,4212966,194365
3619,174043,2015-02-15 01:59:54.920,451488.1,21303.44,3386270,159781
3619,174043,2015-02-15 02:00:58.433,258546.1,37023.71,2052715,293948
3619,174043,2015-02-15 02:01:54.920,258547,167923.1,2052716,1185629
3619,174043,2015-02-15 02:02:16.137,0,0,0,0
3619,174043,2015-02-15 02:02:54.920,9197304,219126.3,4.458537E+07,1062249
3619,174043,2015-02-15 02:03:54.920,2993166,71433.73,2.244874E+07,535753
3619,174043,2015-02-15 02:04:55.083,614296,30966.83,4619892,232890
3619,174043,2015-02-15 02:05:55.067,370538.1,18570.17,2778312,139240
3619,174043,2015-02-15 02:06:55.067,391016.5,27507.33,2932624,206305
3619,174043,2015-02-15 02:07:55.067,6007842,146247.2,4.505881E+07,1096854
3619,174043,2015-02-15 02:08:55.067,6368723,146865.1,4.776542E+07,1101488
3619,174043,2015-02-15 02:09:55.077,2608220,71608.55,1.95642E+07,537134
3619,174043,2015-02-15 02:10:55.093,374057,20270.05,2806158,152065
3619,174043,2015-02-15 02:11:55.077,470841,29688,3530388,222602
3619,174043,2015-02-15 02:12:55.077,226685.6,8249.333,1700142,61870
3619,174043,2015-02-15 02:13:55.077,5604026,107732.5,4.20302E+07,807994
3619,174043,2015-02-15 02:14:55.077,6197685,146570.7,4.648338E+07,1099298
3619,174043,2015-02-15 02:15:55.080,2837461,66071.46,2.128165E+07,495552
3619,174043,2015-02-15 02:16:55.093,582838.5,21849.64,4372427,163915
3619,174043,2015-02-15 02:17:55.080,477696.5,19151.25,3581791,143597
3619,174043,2015-02-15 02:18:57.563,250700.3,11249.92,1958106,87868
3619,174043,2015-02-15 02:19:55.080,6418801,163437.8,4.614844E+07,1175048
3619,174043,2015-02-15 02:20:55.100,5333825,128460.2,4.001671E+07,963765
3619,174043,2015-02-15 02:21:55.083,3557847,90881.66,2.66769E+07,681435
3619,174043,2015-02-15 02:22:55.100,1552.529,2283.938,11647,17134
3619,174043,2015-02-15 02:23:55.083,334232,17947.47,2506087,134571
3619,174043,2015-02-15 02:24:55.543,338196.8,25349.31,2555837,191571
3619,174043,2015-02-15 02:25:55.103,5849240,123924.4,4.354942E+07,922656
3619,174043,2015-02-15 02:26:55.120,6017521,132241.4,4.514316E+07,992069
3619,174043,2015-02-15 02:27:55.103,2902813,77753.98,2.176543E+07,583003
3619,174043,2015-02-15 02:28:55.103,614866.1,27668.13,4611496,207511
3619,174043,2015-02-15 02:29:55.107,513992.6,27277.93,3855068,204591
3619,174043,2015-02-15 02:30:55.137,348113.5,16539.25,2612211,124109
3619,174043,2015-02-15 02:31:55.107,6051621,153494.5,4.536352E+07,1150609
3619,174043,2015-02-15 02:32:55.107,5986067,145868.8,4.48955E+07,1094016
3619,174043,2015-02-15 02:33:55.107,3081961,80380.8,2.311471E+07,602856
3619,174043,2015-02-15 02:34:55.113,439835.7,22456.95,3299196,168449
3619,174043,2015-02-15 02:35:55.113,450519.3,20456.13,3378895,153421
3619,174043,2015-02-15 02:36:55.113,410258.3,16383.87,3076937,122879
3619,174043,2015-02-15 02:37:55.113,6132394,136927.6,4.599296E+07,1026957
3619,174043,2015-02-15 02:38:55.113,6145021,141782.3,4.608765E+07,1063367
3619,174043,2015-02-15 02:39:55.117,2876072,78177.8,2.157159E+07,586362
3619,174043,2015-02-15 02:40:55.133,451933.8,37229.96,3390441,279302
3619,174043,2015-02-15 02:41:55.117,530279.3,28198.28,3976059,211432
3619,174043,2015-02-15 02:42:55.133,426971.2,21096.37,3203118,158264
3619,174043,2015-02-15 02:43:55.117,6079797,134007,4.55866E+07,1004791
3619,174043,2015-02-15 02:44:55.123,3971978,97603.14,2.979225E+07,732083
3619,174043,2015-02-15 02:45:55.123,4862420,108717.7,3.646815E+07,815383
3619,174043,2015-02-15 02:46:55.123,582033.3,22848.67,4365250,171365
3619,174043,2015-02-15 02:47:55.123,465164.8,19583.47,3488736,146876
3619,174043,2015-02-15 02:48:55.123,563747.2,21620.27,4228104,162152
3619,174043,2015-02-15 02:49:55.127,6017167,140540,4.513094E+07,1054101
3619,174043,2015-02-15 02:50:55.140,6118993,141084.1,4.59044E+07,1058406
