NodeId,DateTime,AvgLoad,AvgMemoryUsed,AvgPercentMemoryUsed
19,2015-02-15 14:23:32.273,9,3.14114E+09,49.27398
19,2015-02-15 14:33:32.283,10,3.141218E+09,49.2752
19,2015-02-15 14:43:32.297,10,3.141058E+09,49.27269
19,2015-02-15 14:53:32.307,9,3.140948E+09,49.27096
19,2015-02-15 15:03:32.317,10,3.141128E+09,49.27366
19,2015-02-15 15:13:32.323,9,3.140919E+09,49.27051
19,2015-02-15 15:23:32.327,10,3.141083E+09,49.27308
19,2015-02-15 15:33:32.337,9,3.141128E+09,49.27378
19,2015-02-15 15:43:32.353,9,3.140681E+09,49.26678
19,2015-02-15 15:53:32.360,9,3.141005E+09,49.27186
19,2015-02-15 16:03:32.390,10,3.141374E+09,49.27764
19,2015-02-15 16:13:32.390,10,3.14094E+09,49.27083
19,2015-02-15 16:23:32.397,9,3.141148E+09,49.27411
19,2015-02-15 16:33:32.407,10,3.141165E+09,49.27436
19,2015-02-15 16:43:32.420,10,3.140837E+09,49.26922
19,2015-02-15 16:53:32.420,10,3.140931E+09,49.2707
19,2015-02-15 17:03:32.427,10,3.141165E+09,49.27436
19,2015-02-15 17:13:32.427,10,3.140952E+09,49.27102
19,2015-02-15 17:23:32.440,9,3.141304E+09,49.27655
19,2015-02-15 17:33:32.450,10,3.141411E+09,49.27822
19,2015-02-15 17:43:32.460,10,3.140686E+09,49.26685
19,2015-02-15 17:53:32.470,10,3.141005E+09,49.27186
19,2015-02-15 18:03:32.480,9,3.141198E+09,49.27488
19,2015-02-15 18:13:32.493,10,3.140993E+09,49.27166
19,2015-02-15 18:23:32.500,9,3.14114E+09,49.27398
19,2015-02-15 18:33:32.500,9,3.141259E+09,49.27584
19,2015-02-15 18:43:32.507,10,3.141083E+09,49.27308
19,2015-02-15 18:53:32.510,9,3.141099E+09,49.27333
19,2015-02-15 19:03:32.520,9,3.141447E+09,49.2788
19,2015-02-15 19:13:32.527,9,3.141009E+09,49.27192
19,2015-02-15 19:23:32.540,9,3.141284E+09,49.27623
19,2015-02-15 19:33:32.547,9,3.141234E+09,49.27546
19,2015-02-15 19:43:32.547,9,3.141042E+09,49.27243
19,2015-02-15 19:53:32.553,9,3.141001E+09,49.27179
19,2015-02-15 20:03:32.563,9,3.141271E+09,49.27603
19,2015-02-15 20:13:32.570,10,3.14103E+09,49.27224
19,2015-02-15 20:23:32.583,9,3.141308E+09,49.27661
19,2015-02-15 20:33:32.590,9,3.141366E+09,49.27751
19,2015-02-15 20:43:32.600,9,3.140976E+09,49.27141
19,2015-02-15 20:53:32.603,9,3.141079E+09,49.27301
19,2015-02-15 21:03:32.610,9,3.141312E+09,49.27668
19,2015-02-15 21:13:32.617,9,3.14098E+09,49.27147
19,2015-02-15 21:23:32.630,9,3.141226E+09,49.27533
19,2015-02-15 21:33:32.640,9,3.141255E+09,49.27578
19,2015-02-15 21:43:32.657,9,3.140759E+09,49.268
19,2015-02-15 21:53:32.667,9,3.141136E+09,49.27391
19,2015-02-15 22:03:32.680,9,3.141497E+09,49.27957
19,2015-02-15 22:13:32.713,9,3.140772E+09,49.26819
19,2015-02-15 22:23:32.720,9,3.141271E+09,49.27603
19,2015-02-15 22:33:32.727,9,3.1413E+09,49.27648
19,2015-02-15 22:43:32.730,9,3.140997E+09,49.27173
19,2015-02-15 22:53:32.747,9,3.141066E+09,49.27282
19,2015-02-15 23:03:32.760,9,3.141304E+09,49.27655
19,2015-02-15 23:13:32.760,9,3.140825E+09,49.26903
19,2015-02-15 23:23:32.767,9,3.141374E+09,49.27764
19,2015-02-15 23:33:32.767,9,3.141427E+09,49.27847
19,2015-02-15 23:43:32.777,9,3.140833E+09,49.26916
19,2015-02-15 23:53:32.790,9,3.141218E+09,49.2752
19,2015-02-16 00:03:32.800,9,3.14139E+09,49.2779
19,2015-02-16 00:13:32.843,10,3.142004E+09,49.28753
19,2015-02-16 00:23:32.847,9,3.141484E+09,49.27937
19,2015-02-16 00:33:32.863,9,3.141562E+09,49.28059
